Time,Load Cell,Moving Forward
2848138.0,-0.00853196,0.0
2848216.0,-0.00208121,0.0
2848294.0,0.01574701,0.0
2848372.0,-0.00406215,0.0
2848450.0,-0.00426528,0.0
2848528.0,0.00558843,0.0
2848606.0,-0.00777007,0.0
2848684.0,0.00157586,0.0
2848763.0,-0.00060828,0.0
2848841.0,-0.00695742,0.0
2848919.0,-0.0031479,0.0
2848997.0,-0.00477328,0.0
2849075.0,-0.01518575,0.0
2849153.0,-0.0121382,0.0
2849231.0,0.00695992,0.0
2849309.0,0.02519455,0.0
2849388.0,0.02331521,0.0
2849466.0,-0.01284933,0.0
2849544.0,-0.00375743,0.0
2849622.0,-0.00685574,0.0
2849700.0,0.00243935,0.0
2849778.0,-0.01086831,0.0
2849856.0,-0.01589695,0.0
2849934.0,0.00462342,0.0
2850012.0,0.00401389,0.0
2850091.0,-0.01142707,0.0
2850169.0,0.0257024,0.0
2850247.0,0.01554389,0.0
2850325.0,-0.0035543,0.0
2850403.0,-0.00436688,0.0
2850481.0,0.01275022,0.0
2850559.0,0.00264255,0.0
2850637.0,-0.00076056,0.0
2850715.0,0.00264255,0.0
2850794.0,0.01137881,0.0
2850872.0,-0.0030463,0.0
2850950.0,0.00629956,0.0
2851028.0,-0.00020188,0.0
2851106.0,-0.01767469,0.0
2851184.0,-0.00411292,0.0
2851262.0,0.01518833,0.0
2851340.0,-0.00624622,0.0
2851418.0,0.0053853,0.0
2851497.0,-0.0097001,0.0
2851575.0,-0.00568746,0.0
2851653.0,0.00762021,0.0
2851731.0,-0.00340187,0.0
2851809.0,0.00406465,0.0
2851887.0,0.01732155,0.0
2851965.0,-0.00177649,0.0
2852043.0,0.00223615,0.0
2852122.0,0.01848984,0.0
2852200.0,-0.02239846,0.0
2852278.0,-0.00441772,0.0
2852356.0,0.00457258,0.0
2852434.0,0.01716927,0.0
2852512.0,0.01335968,0.0
2852590.0,0.00889002,0.0
2852668.0,0.00096634,0.0
2852746.0,-0.00517961,0.0
2852825.0,0.02646429,0.0
2852903.0,-0.0080748,0.0
2852981.0,-0.00192885,0.0
